cruise,cast,max_N2
AT46,1,1.654222177614544e-5
AT46,2,7.826816085768676e-6
AT46,6,1.222633117227733e-4
AT46,13,1.4865261461653753e-4
AT46,17,1.1640903541794648e-6
EN649,1,3.146258531061198e-6
EN649,5,2.1578127090833834e-5
EN649,8,1.4186733566829538e-4
EN649,12,1.45446227653991e-4
EN649,19,1.147828473552872e-4
EN649,21,2.3608319766625397e-4
EN655,1,0.0025695805310778034
EN655,2,0.0045230768340333025
EN655,7,0.0047914598932304875
EN661,1,4.409257676503528e-5
EN661,2,2.8553026129877907e-5
EN661,5,1.4702056142897998e-6
EN661,13,4.34783924632587e-6
EN668,1,0.0016280402022140832
EN668,2,0.0018882655945054241
EN668,5,0.0030484218001519945
EN668,15,0.0013395624477914572
EN668,18,0.0024247840123494922
EN687,1,0.0030429788187339617
EN687,2,0.0033418359344246735
EN687,5,0.004255274859809443
EN687,16,0.00198382831113638
EN687,18,0.0033883784473736516
EN655,12,0.002015244
