cruise,cast,niskin,depth_grp,group_id,date,latitude,longitude,par,fleco_afl,depth,mean_temp,mean_sal,mean_nitr,mean_ammon,mean_phos,mean_sil,PAR
EN608,1,1,"(16.5,18]","EN6081(16.5,18]",2018-01-31 19:34:26+00:00,41.19634,-70.87844,4.6488,3.1803,17.329,2.3824,32.3948,NA,NA,NA,NA,NA
EN608,1,2,"(16.5,18]","EN6081(16.5,18]",2018-01-31 19:34:45+00:00,41.19634,-70.87844,4.3959,3.9609,17.48,2.3779,32.394,0,0.414832751304489,0.33327218919135104,0,NA
EN608,1,3,"(16.5,18]","EN6081(16.5,18]",2018-01-31 19:34:54+00:00,41.19634,-70.87844,3.9022,3.3921,17.894,2.3937,32.3971,NA,NA,NA,NA,NA
EN608,1,4,"(10.5,12]","EN6081(10.5,12]",2018-01-31 19:37:01+00:00,41.19636,-70.87832,20.386,2.8745,12.474,2.3318,32.384,NA,NA,NA,NA,NA
EN608,1,5,"(10.5,12]","EN6081(10.5,12]",2018-01-31 19:37:05+00:00,41.19636,-70.87831,25.746,2.9635,11.591,2.3329,32.3843,NA,NA,NA,NA,NA
EN608,1,6,"(10.5,12]","EN6081(10.5,12]",2018-01-31 19:37:20+00:00,41.19636,-70.8783,24.688,3.1984,11.852,2.3502,32.3877,0,0.4349132032566544,0.3208521076065801,0,NA
EN608,1,7,"(10.5,12]","EN6081(10.5,12]",2018-01-31 19:38:07+00:00,41.19636,-70.87824,21.19,3.1249,12.366,2.3213,32.3818,NA,NA,NA,NA,NA
EN608,1,8,"(6,7.5]","EN6081(6,7.5]",2018-01-31 19:40:35+00:00,41.19636,-70.87806,110.39,2.7168,7.375,2.303,32.3787,NA,NA,NA,NA,NA
EN608,1,9,"(6,7.5]","EN6081(6,7.5]",2018-01-31 19:40:43+00:00,41.19636,-70.87806,128.36,2.543,7.022,2.3122,32.3798,0,0.4559731894503887,0.3265446449996001,0,NA
EN608,1,10,"(6,7.5]","EN6081(6,7.5]",2018-01-31 19:40:51+00:00,41.19636,-70.87804,105.19,2.558,7.394,2.3069,32.3796,NA,NA,NA,NA,NA
EN608,1,11,"(1.5,3]","EN6081(1.5,3]",2018-01-31 19:44:50+00:00,41.1964,-70.87774,668.44,1.7026,2.993,2.3001,32.3769,NA,NA,NA,NA,NA
