Count,Criuse,Day,Month,Year,LAT,LONG,Temp D,ayLengh,Irr,Pb_opt,Depth,%Irr,O.D.,Chl,Pb,PP,IPP
,,,,,,,,,,,,,,,,,
1,Albatros,16,3,1979,38.78,-72.27,7,11.82,6.23,5.03,0,100,0,2.72,3.92,126,1775.3
2,,,,,,,,,,,2.55,60,0.51,2.78,5.03,165.24,
3,,,,,,,,,,,4.58,40,0.92,3.18,4.06,152.6,
4,,,,,,,,,,,9.16,16,1.83,3.26,2.46,94.68,
5,,,,,,,,,,,14.98,5,3,3.1,0.83,30.5,
6,,,,,,,,,,,23.03,1,4.61,2.74,0.22,6.97,
7,,,,,,,,,,,,,,,,,
8,Albatros,17,3,1979,39.5,-73.43,4,11.86,9.87,2.81,0,100,0,2.67,2.59,81.95,1015.6
9,,,,,,,,,,,2.33,60,0.51,2.83,2.81,94.29,
10,,,,,,,,,,,4.18,40,0.92,3.32,2.12,83.61,
11,,,,,,,,,,,8.36,16,1.83,2.95,1.87,65.47,
12,,,,,,,,,,,13.66,5,3,2.61,0.64,19.92,
13,,,,,,,,,,,21,1,4.61,3.44,0.23,9.49,
14,,,,,,,,,,,,,,,,,
15,Albatros,19,3,1979,38.34,-73.63,8.3,11.95,10.66,2.77,0,100,0,2.17,2.38,61.78,1349.2
16,,,,,,,,,,,3.93,60,0.51,2.07,2.77,68.47,
17,,,,,,,,,,,7.05,40,0.92,2.26,2.38,64.41,
18,,,,,,,,,,,14.1,16,1.83,2.03,1.79,43.38,
19,,,,,,,,,,,23.04,5,3,2.01,1.09,26.29,
20,,,,,,,,,,,35.42,1,4.61,2.35,0.18,5.14,
21,,,,,,,,,,,,,,,,,
22,Albatros,20,3,1979,37.43,-75.15,4.3,11.99,8.82,2.58,0,100,0,2.11,2.28,57.67,927.8
23,,,,,,,,,,,2.22,60,0.51,2.03,2.58,62.83,
24,,,,,,,,,,,3.98,40,0.92,2.56,2.42,74.34,
25,,,,,,,,,,,7.97,16,1.83,1.78,2.4,51.2,
26,,,,,,,,,,,13.02,5,3,1.89,1.91,43.28,
27,,,,,,,,,,,20.02,1,4.61,1.92,0.41,9.35,
28,,,,,,,,,,,,,,,,,
29,Albatros,21,3,1979,37.33,-74.68,8,12.03,9.81,2.06,0,100,0,4.5,1.08,58.59,1044.8
30,,,,,,,,,,,2.55,60,0.51,4.16,2.06,102.98,
31,,,,,,,,,,,4.58,40,0.92,3.16,1.67,63.52,
32,,,,,,,,,,,9.16,16,1.83,4.09,1.37,67.37,
33,,,,,,,,,,,14.98,5,3,4.24,0.43,21.89,
34,,,,,,,,,,,23.03,1,4.61,3.74,0.12,5.53,
35,,,,,,,,,,,,,,,,,
36,Albatros,22,3,1979,39.18,-72.9,6.2,12.07,12.43,0.98,0,100,0,7.26,0.86,75.56,742.2
37,,,,,,,,,,,2.19,60,0.51,5.51,0.98,65.24,
38,,,,,,,,,,,3.93,40,0.92,6.05,0.75,54.92,
39,,,,,,,,,,,7.87,16,1.83,7.46,0.54,48.64,
40,,,,,,,,,,,12.86,5,3,4.84,0.4,23.66,
41,,,,,,,,,,,19.76,1,4.61,6.41,0.07,5.07,
42,,,,,,,,,,,,,,,,,
43,Albatros,23,3,1979,39.78,-72.03,4.4,12.12,13.48,3.49,0,100,0,7.76,1.81,170.16,2447.3
44,,,,,,,,,,,2.43,60,0.51,6.6,3.49,278.88,
