cruise,station,cast,Avg_PAR_inc
EN649,L1,1,383.3946982
EN649,L2,5,484.3818885
EN649,L4,21,232.7416483
EN649,L6,19,232.7416483
EN649,L8,8,385.8800988
EN649,L10,12,410.2424705
EN655,L1,1,1014.938559
EN655,L2,2,1041.464636
EN655,L4,7,988.0493566
EN655,L10,12,985.1005888
EN661,L1,1,308.596995
EN661,L2,2,313.1631471
EN661,L4,5,306.8072864
EN661,L1,13,68.75327898
EN668,L1,1,827.0261139
EN668,L2,2,748.8979932
EN668,L4,5,710.1650708
EN668,L6,18,618.4731936
EN668,L8,15,692.1999698
AT46,L1,1,359.272524
AT46,L2,17,655.3090329
AT46,L4,2,358.5843232
AT46,L6,6,344.6361259
AT46,L8,13,604.3413349
AT46,L4,15,677.7002701
EN687,L1,1,877.2814634
EN687,L2,2,1014.578755
EN687,L4,5,1069.410058
EN687,L6,18,802.3756554
EN687,L8,16,426.8723162
