cruise,cast,size,int_pp,nearest_station,season,year,region
AT46,1,pp_GFF,898.722909,L1,Winter,2022,Inner-shelf
AT46,1,pp_greater_20,549.074449,L1,Winter,2022,Inner-shelf
AT46,1,pp_between5_20,262.33792,L1,Winter,2022,Inner-shelf
AT46,1,pp_less5,87.31053999999999,L1,Winter,2022,Inner-shelf
AT46,2,pp_GFF,614.1648637,L4,Winter,2022,Mid-shelf
AT46,2,pp_greater_20,469.7503862,L4,Winter,2022,Mid-shelf
AT46,2,pp_between5_20,85.0123805,L4,Winter,2022,Mid-shelf
AT46,2,pp_less5,59.402097,L4,Winter,2022,Mid-shelf
AT46,6,pp_GFF,809.23930495,L6,Winter,2022,Mid-shelf
AT46,6,pp_greater_20,465.51455895,L6,Winter,2022,Mid-shelf
AT46,6,pp_between5_20,177.060234,L6,Winter,2022,Mid-shelf
AT46,6,pp_less5,166.66451200000003,L6,Winter,2022,Mid-shelf
AT46,13,pp_GFF,830.4703145,L8,Winter,2022,Outer-shelf
AT46,13,pp_greater_20,473.212395,L8,Winter,2022,Outer-shelf
AT46,13,pp_between5_20,154.04409700000002,L8,Winter,2022,Outer-shelf
AT46,13,pp_less5,203.21382250000002,L8,Winter,2022,Outer-shelf
AT46,15,pp_GFF,519.4059015,L4,Winter,2022,Mid-shelf
AT46,15,pp_greater_20,249.261555,L4,Winter,2022,Mid-shelf
AT46,15,pp_between5_20,163.7640225,L4,Winter,2022,Mid-shelf
AT46,15,pp_less5,106.380324,L4,Winter,2022,Mid-shelf
AT46,17,pp_GFF,2523.4874499999996,L2,Winter,2022,Inner-shelf
AT46,17,pp_greater_20,1920.159138,L2,Winter,2022,Inner-shelf
AT46,17,pp_between5_20,548.0305095,L2,Winter,2022,Inner-shelf
AT46,17,pp_less5,55.2978025,L2,Winter,2022,Inner-shelf
EN649,1,pp_GFF,304.81625,L1,Winter,2020,Inner-shelf
EN649,1,pp_greater_20,91.566698,L1,Winter,2020,Inner-shelf
EN649,1,pp_between5_20,149.5781005,L1,Winter,2020,Inner-shelf
EN649,1,pp_less5,63.6714515,L1,Winter,2020,Inner-shelf
EN649,5,pp_GFF,345.87224299999997,L2,Winter,2020,Inner-shelf
EN649,5,pp_greater_20,139.739529,L2,Winter,2020,Inner-shelf
EN649,5,pp_between5_20,118.040629,L2,Winter,2020,Inner-shelf
EN649,5,pp_less5,88.09208500000001,L2,Winter,2020,Inner-shelf
