cruise,cast,size,int_chl
AT46,1,total,65.70196800000001
AT46,1,greater20,35.910823
AT46,1,between520,6.852013250000002
AT46,1,less5,22.939131750000005
AT46,2,total,65.08252875
AT46,2,greater20,41.92473075
AT46,2,between520,14.870906249999999
AT46,2,less5,8.286891749999999
AT46,6,total,72.8103315
AT46,6,greater20,53.54387875
AT46,6,between520,6.120689999999997
AT46,6,less5,13.145762750000001
AT46,13,total,65.844714
AT46,13,greater20,37.07764725
AT46,13,between520,7.7901275
AT46,13,less5,20.976939249999997
AT46,15,total,45.202397999999995
AT46,15,greater20,27.795225249999994
AT46,15,between520,3.34830325
AT46,15,less5,14.0588695
AT46,17,total,182.91952849999998
AT46,17,greater20,97.840965
AT46,17,between520,65.8942595
AT46,17,less5,19.184303999999997
EN649,1,total,60.719699
EN649,1,greater20,25.457257000000002
EN649,1,between520,24.657684999999997
EN649,1,less5,10.604757000000003
EN649,5,total,60.25292150000001
EN649,5,greater20,31.992077000000002
EN649,5,between520,8.181384500000002
EN649,5,less5,20.079460000000005
EN649,8,total,53.519326250000006
EN649,8,greater20,12.75007375
EN649,8,between520,7.098924500000001
EN649,8,less5,33.670328
EN649,12,total,34.343783249999994
EN649,12,greater20,1.87475325
EN649,12,between520,4.769336749999999
EN649,12,less5,27.69969325
EN649,19,total,44.496486
EN649,19,greater20,22.146063
EN649,19,between520,5.731673999999998
EN649,19,less5,16.618749
EN649,21,total,56.29435525
EN649,21,greater20,39.559062250000004
EN649,21,between520,9.156705250000003
EN649,21,less5,7.5785877500000005
EN655,1,total,37.327142249999994
EN655,1,greater20,16.370572499999998
EN655,1,between520,6.313175249999999
EN655,1,less5,14.643394499999998
EN655,2,total,182.861024
EN655,2,greater20,139.95985699999997
EN655,2,between520,21.349607999999982
EN655,2,less5,21.55155900000003
EN655,7,total,39.893804749999994
EN655,7,greater20,2.47235725
EN655,7,between520,5.584994499999999
EN655,7,less5,31.836453
EN655,12,total,36.11335
EN655,12,greater20,11.6038925
EN655,12,between520,0.9895717500000001
EN655,12,less5,23.519885749999997
EN661,1,total,82.58523674999999
EN661,1,greater20,73.13519249999999
EN661,1,between520,0
EN661,1,less5,9.450044250000001
EN661,2,total,38.47224075
EN661,2,greater20,20.32670425
EN661,2,between520,10.596626
EN661,2,less5,7.548910500000002
EN661,5,total,134.6631165
EN661,5,greater20,131.0629545
EN661,5,between520,3.600161999999998
EN661,5,less5,0
EN668,1,total,26.5532715
EN668,1,greater20,2.8991112500000007
EN668,1,between520,7.69153975
EN668,1,less5,15.962620499999998
EN668,2,total,24.70040825
EN668,2,greater20,2.9776935
EN668,2,between520,5.937822499999999
EN668,2,less5,15.784892249999999
EN668,5,total,54.16442
EN668,5,greater20,12.592584
EN668,5,between520,7.245879999999999
EN668,5,less5,34.325956000000005
EN668,15,total,42.07709300000001
EN668,15,greater20,7.067421000000001
EN668,15,between520,13.258939000000003
EN668,15,less5,21.750733000000007
EN668,18,total,71.501158
EN668,18,greater20,20.28716
EN668,18,between520,11.534839999999999
EN668,18,less5,39.679158
EN687,1,total,18.26200025
EN687,1,greater20,3.2735967500000003
EN687,1,between520,1.8517030000000003
EN687,1,less5,13.136700500000002
EN687,2,total,74.964525
EN687,2,greater20,34.036091
EN687,2,between520,26.86418800000001
EN687,2,less5,14.064245999999986
EN687,5,total,35.38238700000001
EN687,5,greater20,6.816941999999999
EN687,5,between520,3.6600079999999995
EN687,5,less5,24.905437000000003
EN687,16,total,62.838400750000005
EN687,16,greater20,7.69125475
EN687,16,between520,24.997097500000006
EN687,16,less5,30.150048500000004
EN687,18,total,15.047382749999999
EN687,18,greater20,0.48042899999999994
EN687,18,between520,2.54602625
EN687,18,less5,12.020927499999997
