cruise,cast,nutrient,int_nut
AT46,1,ammonium,0
AT46,1,silicate,1.8319890290082501
AT46,1,phosphate,3.12567436840325
AT46,1,nitrate_nitrite,0
AT46,2,ammonium,25.375263821059498
AT46,2,silicate,126.57627775112924
AT46,2,phosphate,14.21321133627525
AT46,2,nitrate_nitrite,35.596577062449
AT46,6,ammonium,2.8793030234285
AT46,6,silicate,109.2444697606325
AT46,6,phosphate,16.4812684958655
AT46,6,nitrate_nitrite,169.47424057782501
AT46,13,ammonium,0.22923530182860513
AT46,13,silicate,128.4808421366221
AT46,13,phosphate,20.07547773222807
AT46,13,nitrate_nitrite,275.5827826675113
AT46,17,ammonium,0
AT46,17,silicate,5.85457818015225
AT46,17,phosphate,5.90435412922575
AT46,17,nitrate_nitrite,0
EN649,1,ammonium,16.346006683134
EN649,1,silicate,3.3270033763890003
EN649,1,phosphate,3.66494363021
EN649,1,nitrate_nitrite,0
EN649,5,ammonium,11.91616439614
EN649,5,silicate,22.124555702572998
EN649,5,phosphate,6.369729376794501
EN649,5,nitrate_nitrite,33.903405405821005
EN649,8,ammonium,35.120246804302994
EN649,8,silicate,253.57404403712047
EN649,8,phosphate,31.500621750435997
EN649,8,nitrate_nitrite,323.91231068840693
EN649,12,ammonium,23.611627015653
EN649,12,silicate,140.46924024924374
EN649,12,phosphate,13.94216586412425
EN649,12,nitrate_nitrite,264.1315742036585
EN649,19,ammonium,0.7266902048857219
EN649,19,silicate,119.17594324324611
EN649,19,phosphate,19.22669388427655
EN649,19,nitrate_nitrite,202.45341451694213
EN649,21,ammonium,13.451950565347
EN649,21,silicate,38.477901398231005
EN649,21,phosphate,9.544959675947501
EN649,21,nitrate_nitrite,30.33664819690725
EN655,1,ammonium,0
EN655,1,silicate,36.00397949060925
EN655,1,phosphate,4.126819201715249
EN655,1,nitrate_nitrite,0
EN655,2,ammonium,0
EN655,2,silicate,65.50041507552974
EN655,2,phosphate,5.827635555692
EN655,2,nitrate_nitrite,0
EN655,7,ammonium,0
EN655,7,silicate,79.98192295831323
EN655,7,phosphate,9.181281391571249
EN655,7,nitrate_nitrite,4.261699732938995
EN655,12,ammonium,4.812782643464331
EN655,12,silicate,84.95335646210103
EN655,12,phosphate,8.240752517009412
EN655,12,nitrate_nitrite,94.19166081454894
EN661,1,ammonium,3.640854214288
EN661,1,silicate,4.4993595013925
EN661,1,phosphate,3.4508148491504995
EN661,1,nitrate_nitrite,0
EN661,2,ammonium,4.910866500523291
EN661,2,silicate,9.223874815837759
EN661,2,phosphate,1.6569215388484666
EN661,2,nitrate_nitrite,0
EN661,5,ammonium,1.0902163483923835
EN661,5,silicate,15.270098950695065
EN661,5,phosphate,4.650003761819756
EN661,5,nitrate_nitrite,40.33887359522523
EN661,13,ammonium,2.4355987241279995
EN661,13,silicate,26.006029192799993
EN661,13,phosphate,1.6834161125159999
EN661,13,nitrate_nitrite,0
EN668,1,ammonium,1.6347966724700842
EN668,1,silicate,33.28153848529938
EN668,1,phosphate,0.4572027323135242
EN668,1,nitrate_nitrite,0
EN668,2,ammonium,5.1254746399430005
EN668,2,silicate,58.444699076910005
EN668,2,phosphate,2.7623109200725002
EN668,2,nitrate_nitrite,0.36621761501
EN668,5,ammonium,10.276652555301142
EN668,5,silicate,101.84421337081984
EN668,5,phosphate,5.358474808815183
EN668,5,nitrate_nitrite,28.10291861052796
EN668,15,ammonium,0.8726372171887499
EN668,15,silicate,61.58409949851
EN668,15,phosphate,4.9167299250262495
EN668,15,nitrate_nitrite,34.705904864582244
EN668,18,ammonium,1.1379747193763923
EN668,18,silicate,86.63009524454083
EN668,18,phosphate,8.886839281978492
EN668,18,nitrate_nitrite,87.37054237557349
EN668,20,ammonium,0
EN668,20,silicate,1.0338380832
EN668,20,phosphate,0
EN668,20,nitrate_nitrite,0
EN687,1,ammonium,0.38836062023275
EN687,1,silicate,5.4712664006672505
EN687,1,phosphate,2.2047712139725
EN687,1,nitrate_nitrite,0
EN687,2,ammonium,1.2488432273849999
EN687,2,silicate,29.471601190170006
EN687,2,phosphate,3.531671975883
EN687,2,nitrate_nitrite,0
EN687,5,ammonium,0.63639883404
EN687,5,silicate,22.15025835080042
EN687,5,phosphate,2.0699361421470224
EN687,5,nitrate_nitrite,0.8266818969922364
EN687,16,ammonium,0
EN687,16,silicate,114.79295535123327
EN687,16,phosphate,10.169457703161502
EN687,16,nitrate_nitrite,79.24745766000403
EN687,18,ammonium,0
EN687,18,silicate,23.05371001906471
EN687,18,phosphate,0.35031910618311835
EN687,18,nitrate_nitrite,0
