Count	Criuse	Day	Month	Year	LAT	LONG	Temp D	ayLengh	Irr	Pb_opt	Depth	%Irr	O.D.	Chl	Pb	PP	IPP
																	
4589	marmap	16	3	1977	40.2	-73.5N	D	11.81	25.4	4.84	0	100	0	53.89	4.75	3020	8017.8
4590											0.4	69	0.37	53.89	4.84	3080	
4591											0.84	46	0.78	53.89	4.78	3040	
4592											1.51	25	1.39	53.89	4.48	2850	
4593											2.5	10	2.3	53.89	2.26	1440	
4594											3.81	3	3.51	34.94	0.71	294	
4595											5	1	4.61	10.4	0.68	83.1	
4596																	
4597	marmap	16	3	1977	40.2	-73.4N	D	11.81	25.4	3.36	0	100	0	24.41	3.01	868	1856.8
4598											0.4	69	0.37	24.41	3.36	968	
4599											0.84	46	0.78	24.41	2.65	765	
4600											1.51	25	1.39	24.41	1.5	432	
4601											2.5	10	2.3	21	1.08	269	
4602											3.81	3	3.51	17.49	0.63	131	
4603											5	1	4.61	18.39	0.16	35.2	
4604																	
4605	marmap	17	3	1977	40.2	-73.5N	D	11.85	28.5	3.67	0	100	0	25.03	2.28	676	1804.5
4606											0.24	69	0.37	25.03	3.67	1090	
4607											0.51	46	0.78	25.03	3.61	1070	
4608											0.9	25	1.39	25.03	3.36	998	
4609											1.5	10	2.3	25.03	1.75	519	
4610											2.28	3	3.51	26.96	0.69	222	
4611											3	1	4.61	26.96	0.63	202	
4612																	
4613	marmap	17	3	1977	40.1	-73.5N	D	11.85	28.5	18.14	0	100	0	12.19	12.6	1820	5837.2
4614											0.4	69	0.37	12.19	17.38	2510	
4615											0.84	46	0.78	12.19	18.14	2620	
4616											1.51	25	1.39	12.19	8.51	1230	
4617											2.5	10	2.3	17.7	4.62	968	
4618											3.81	3	3.51	17.7	2.86	600	
4619											5	1	4.61	14.95	0.81	143	
4620																	
4621	marmap	18	3	1977	40.1	-73.4N	D	11.9	3.06	1.65	0	100	0	3.38	1.65	66.4	291.2
4622											1.45	69	0.37	3.38	1.44	58	
4623											3.04	46	0.78	3.43	0.8	32.8	
4624											5.42	25	1.39	3.43	0.53	21.8	
4625											9	10	2.3	3.88	0.08	3.73	
4626											13.71	3	3.51	3.1	0.05	1.88	
4627											18	1	4.61	1.06	0.04	0.47	
4628																	
4629	marmap	19	3	1977	39.4	-73.5N	D	11.94	31.8	2.86	0	100	0	10.93	1.48	193	1951.8
4630											0.64	69	0.37	10.93	2.08	272	
4631											1.35	46	0.78	10.93	2.86	373	
4632											2.41	25	1.39	10.93	2.71	354	
4633											4	10	2.3	8.53	2.65	270	
4634											6.09	3	3.51	8.53	1.48	151	
4635											8	1	4.61	12.91	0.74	114	
4636																	
4637	marmap	19	3	1977	39.1	-74N	D	11.94	31.8	3.08	0	100	0	1.23	2.61	38.3	567.5
4638											2.18	69	0.37	1.23	3.08	45.3	
4639											4.55	46	0.78	1.49	2.45	43.5	
4640											8.13	25	1.39	1.77	1.46	30.9	
4641											13.5	10	2.3	1.47	0.26	4.6	
4642											20.56	3	3.51	2.05	0.49	12	
4643											27	1	4.61	2.1	0.56	14.1	
4644																	
4645	marmap	20	3	1977	40	-73.2N	D	11.94	8.24	2.75	0	100	0	1.19	2.75	39.1	446.8
4646											3.06	69	0.37	1.19	2.57	36.5	
4647											6.41	46	0.78	1.17	1.83	25.6	
4648											11.44	25	1.39	1.04	1.31	16.3	
4649											19	10	2.3	0.83	0.49	4.85	
4650											28.93	3	3.51	0.82	0.14	1.34	
4651											38	1	4.61	0.67	0.14	1.09	
4652																	
4653	marmap	20	3	1977	39.5	-73.4N	D	11.99	8.24	9.11	0	100	0	3.13	9.11	342	2102.9
4654											1.61	69	0.37	3.13	7.27	273	
4655											3.37	46	0.78	3.13	6.74	253	
4656											6.02	25	1.39	3.41	3.84	157	
4657											10	10	2.3	3.02	1.24	44.9	
4658											15.23	3	3.51	3.52	0.35	14.9	
4659											20	1	4.61	3.3	0.08	3.24	
4660																	
4661	marmap	21	3	1977	39.1	-73.2N	D	12.03	32	3.72	0	100	0	2.28	3.72	102	1620.6
4662											2.42	69	0.37	2.28	3.3	90.6	
4663											5.06	46	0.78	2.3	3.37	93.3	
4664											9.03	25	1.39	2.3	2.63	72.7	
4665											15	10	2.3	1.55	2.64	49.3	
4666											22.84	3	3.51	1.88	1.22	27.5	
4667											30	1	4.61	1.52	0.79	14.4	
4668																	
4669	marmap	21	3	1977	39.1	-72.4N	D	12.03	32	12.18	0	100	0	0.86	12.18	126	1888.1
4670											2.9	69	0.37	0.86	11.99	124	
4671											6.07	46	0.78	0.84	11.08	112	
4672											10.84	25	1.39	0.84	7.68	77.6	
4673											18	10	2.3	2.16	1.24	32.3	
4674											27.41	3	3.51	2.12	0.6	15.3	
4675											36	1	4.61	1.03	0.31	3.79	
4676																	
4677	marmap	22	3	1977	39.3	-72.3N	D	12.07	4.66	2.51	0	100	0	2.4	2.51	72.7	642.2
4678											3.22	69	0.37	2.4	2.21	63.9	
4679											6.74	46	0.78	2.4	1.1	31.9	
4680											12.04	25	1.39	1.96	0.66	15.6	
4681											20	10	2.3	1.69	0.18	3.74	
4682											30.46	3	3.51	0.94	0.22	2.55	
4683											40	1	4.61	0.71	0.14	1.16	
4684																	
4685	marmap	22	3	1977	40	-72.3N	D	12.08	4.66	4.46	0	100	0	2.17	4.46	117	1309.7
4686											3.06	69	0.37	2.17	3.72	97.5	
4687											6.41	46	0.78	1.91	3.01	69.4	
4688											11.44	25	1.39	1.91	2.04	47	
4689											19	10	2.3	1.98	0.56	13.4	
4690											28.93	3	3.51	1.99	0.46	11	
4691											38	1	4.61	0.97	0.19	2.19	
4692																	
4693	marmap	27	3	1977	41	-68N	D	12.31	33.9	3.55	0	100	0	12.66	3.32	517	3067.8
4694											0.64	69	0.37	12.66	3.55	554	
