cruise,date,latitude,longitude,cast,niskin,depth,depth_grp
EN608,2018-01-31 19:34:26+00:00,41.19634,-70.87844,1,1,17,"(16.5,18]"
EN608,2018-01-31 19:34:45+00:00,41.19634,-70.87844,1,2,17,"(16.5,18]"
EN608,2018-01-31 19:34:54+00:00,41.19634,-70.87844,1,3,17,"(16.5,18]"
EN608,2018-01-31 19:37:01+00:00,41.19636,-70.87832,1,4,12,"(10.5,12]"
EN608,2018-01-31 19:37:05+00:00,41.19636,-70.87831,1,5,11,"(10.5,12]"
EN608,2018-01-31 19:37:20+00:00,41.19636,-70.8783,1,6,11,"(10.5,12]"
EN608,2018-01-31 19:38:07+00:00,41.19636,-70.87824,1,7,12,"(10.5,12]"
EN608,2018-01-31 19:40:35+00:00,41.19636,-70.87806,1,8,7,"(6,7.5]"
EN608,2018-01-31 19:40:43+00:00,41.19636,-70.87806,1,9,7,"(6,7.5]"
EN608,2018-01-31 19:40:51+00:00,41.19636,-70.87804,1,10,7,"(6,7.5]"
EN608,2018-01-31 19:44:50+00:00,41.1964,-70.87774,1,11,2,"(1.5,3]"
EN608,2018-01-31 19:44:56+00:00,41.1964,-70.87772,1,12,2,"(1.5,3]"
EN608,2018-01-31 19:45:03+00:00,41.19642,-70.87772,1,13,2,"(1.5,3]"
EN608,2018-01-31 19:45:09+00:00,41.19642,-70.87772,1,14,2,"(1.5,3]"
EN608,2018-01-31 19:45:17+00:00,41.19642,-70.87772,1,15,2,"(1.5,3]"
EN608,2018-01-31 19:45:23+00:00,41.19644,-70.8777,1,16,2,"(1.5,3]"
EN608,2018-01-31 19:45:30+00:00,41.19644,-70.8777,1,17,2,"(1.5,3]"
EN608,2018-01-31 19:45:36+00:00,41.19644,-70.8777,1,18,2,"(1.5,3]"
EN608,2018-01-31 19:45:42+00:00,41.19644,-70.87768,1,19,2,"(1.5,3]"
EN608,2018-01-31 19:45:50+00:00,41.19644,-70.87768,1,20,2,"(1.5,3]"
EN608,2018-01-31 19:46:00+00:00,41.19646,-70.87768,1,21,2,"(1.5,3]"
EN608,2018-01-31 19:46:07+00:00,41.19646,-70.87768,1,22,2,"(1.5,3]"
EN608,2018-01-31 19:46:14+00:00,41.19646,-70.87767,1,23,2,"(1.5,3]"
EN608,2018-01-31 19:46:21+00:00,41.19646,-70.87766,1,24,2,"(1.5,3]"
EN608,2018-02-01 00:35:19+00:00,41.0286,-70.65053,2,1,9,"(7.5,9]"
EN608,2018-02-01 00:35:34+00:00,41.0286,-70.65042,2,2,9,"(7.5,9]"
EN608,2018-02-01 00:37:55+00:00,41.02868,-70.64938,2,3,4,"(1.5,3]"
EN608,2018-02-01 00:38:04+00:00,41.0287,-70.6493,2,4,3,"(1.5,3]"
EN608,2018-02-01 03:38:00+00:00,41.02574,-71.09488,3,1,9,"(7.5,9]"
EN608,2018-02-01 03:38:10+00:00,41.0257,-71.09478,3,2,9,"(7.5,9]"
EN608,2018-02-01 03:39:58+00:00,41.02532,-71.09385,3,3,6,"(4.5,6]"
EN608,2018-02-01 03:40:05+00:00,41.0253,-71.09378,3,4,6,"(4.5,6]"
EN608,2018-02-01 05:44:26+00:00,41.02064,-70.87162,4,1,43,"(42,43.5]"
EN608,2018-02-01 05:44:40+00:00,41.02056,-70.87158,4,2,43,"(42,43.5]"
EN608,2018-02-01 05:47:02+00:00,41.0201,-70.87136,4,3,29,"(28.5,30]"
EN608,2018-02-01 05:47:15+00:00,41.02006,-70.87133,4,4,29,"(28.5,30]"
EN608,2018-02-01 05:47:25+00:00,41.02002,-70.8713,4,5,29,"(28.5,30]"
EN608,2018-02-01 05:47:34+00:00,41.01998,-70.87126,4,6,29,"(28.5,30]"
EN608,2018-02-01 05:49:28+00:00,41.01946,-70.87094,4,7,15,"(13.5,15]"
EN608,2018-02-01 05:49:37+00:00,41.01943,-70.87094,4,8,15,"(13.5,15]"
EN608,2018-02-01 05:49:44+00:00,41.01938,-70.87092,4,9,15,"(13.5,15]"
EN608,2018-02-01 05:49:51+00:00,41.01935,-70.87092,4,10,15,"(13.5,15]"
EN608,2018-02-01 05:52:14+00:00,41.0187,-70.87068,4,11,3,"(1.5,3]"
EN608,2018-02-01 05:52:23+00:00,41.01866,-70.87066,4,12,3,"(1.5,3]"
EN608,2018-02-01 05:52:30+00:00,41.01861,-70.87064,4,13,3,"(1.5,3]"
EN608,2018-02-01 05:52:40+00:00,41.01856,-70.87062,4,14,3,"(1.5,3]"
EN608,2018-02-01 09:24:00+00:00,40.85798,-70.88402,5,1,44,"(43.5,45]"
EN608,2018-02-01 09:24:09+00:00,40.85795,-70.88402,5,2,44,"(43.5,45]"
EN608,2018-02-01 09:24:16+00:00,40.85793,-70.88402,5,3,44,"(43.5,45]"
EN608,2018-02-01 09:24:23+00:00,40.8579,-70.88402,5,4,44,"(43.5,45]"
EN608,2018-02-01 09:26:50+00:00,40.85748,-70.8841,5,5,30,"(28.5,30]"
EN608,2018-02-01 09:26:57+00:00,40.85744,-70.88412,5,6,30,"(28.5,30]"
EN608,2018-02-01 09:27:04+00:00,40.85742,-70.88414,5,7,30,"(28.5,30]"
EN608,2018-02-01 09:27:15+00:00,40.85736,-70.88414,5,8,29,"(28.5,30]"
EN608,2018-02-01 09:29:30+00:00,40.8568,-70.88424,5,9,15,"(13.5,15]"
EN608,2018-02-01 09:29:33+00:00,40.85678,-70.88425,5,10,14,"(13.5,15]"
EN608,2018-02-01 09:29:39+00:00,40.85676,-70.88426,5,11,15,"(13.5,15]"
EN608,2018-02-01 09:29:52+00:00,40.85672,-70.8843,5,12,15,"(13.5,15]"
EN608,2018-02-01 09:32:45+00:00,40.85608,-70.88436,5,13,3,"(1.5,3]"
EN608,2018-02-01 09:32:54+00:00,40.85604,-70.88436,5,14,3,"(1.5,3]"
EN608,2018-02-01 09:33:01+00:00,40.85601,-70.88438,5,15,2,"(1.5,3]"
EN608,2018-02-01 09:33:08+00:00,40.85598,-70.8844,5,16,3,"(1.5,3]"
EN608,2018-02-01 09:33:15+00:00,40.85596,-70.88442,5,17,3,"(1.5,3]"
EN608,2018-02-01 09:33:23+00:00,40.85593,-70.88442,5,18,2,"(1.5,3]"
EN608,2018-02-01 09:33:30+00:00,40.85591,-70.88444,5,19,3,"(1.5,3]"
EN608,2018-02-01 09:33:37+00:00,40.85589,-70.88446,5,20,2,"(1.5,3]"
EN608,2018-02-01 13:54:08+00:00,40.69095,-70.65586,6,1,10,"(9,10.5]"
