cruise,date_time_utc,cast,station,niskin,latitude,longitude,depth,alternate_sample_category,depth_category,filter_size,replicate,percent_surface_irradiance,npp_rate,iode_quality_flag,nearest_station,distance,incub_type
EN644,2019-08-20 19:13:30,1,L1,9,41.1969,-70.8786,12.667,Dark_GFF,Dark,>0,NA,15,1.022,1,L1,0.39,ambient_temp
EN644,2019-08-20 19:10:41,1,L1,2,41.1968,-70.8793,18.109,D1_5,D1,>0&<5,NA,5,14.738,1,L1,0.34,ambient_temp
EN644,2019-08-20 19:10:41,1,L1,2,41.1968,-70.8793,18.109,D1_20,D1,>0&<20,NA,5,18.338,1,L1,0.34,ambient_temp
EN644,2019-08-20 19:10:41,1,L1,2,41.1968,-70.8793,18.109,D1_GFF,D1,>0,NA,5,22.388,1,L1,0.34,ambient_temp
EN644,2019-08-20 19:13:30,1,L1,9,41.1969,-70.8786,12.667,D2_5,D2,>0&<5,NA,15,23.794,1,L1,0.39,ambient_temp
EN644,2019-08-20 19:13:30,1,L1,9,41.1969,-70.8786,12.667,D2_20,D2,>0&<20,NA,15,27.46,1,L1,0.39,ambient_temp
EN644,2019-08-20 19:13:30,1,L1,9,41.1969,-70.8786,12.667,D2_GFF,D2,>0,NA,15,27.765,1,L1,0.39,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_5,D3,>0&<5,1,75,34.168,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_5,D3,>0&<5,2,75,32.838,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_20,D3,>0&<20,2,75,40.936,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_5,D3,>0&<5,3,75,35.795,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_GFF,D3,>0,3,75,47.062,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_20,D3,>0&<20,3,75,42.14,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_20,D3,>0&<20,1,75,43.163,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_GFF,D3,>0,2,75,54.576,1,L1,0.48,ambient_temp
EN644,2019-08-20 19:18:18,1,L1,19,41.1968,-70.8776,2.394,D3_GFF,D3,>0,1,75,51.675,1,L1,0.48,ambient_temp
EN644,2019-08-21 00:44:15,2,L2,8,41.024,-70.8717,17.946,Dark_GFF,Dark,>0,NA,5,2.226,1,L2,1.18,ambient_temp
EN644,2019-08-21 00:42:39,2,L2,6,41.0241,-70.8718,25.194,D1_5,D1,>0&<5,NA,1,2.259,1,L2,1.17,ambient_temp
EN644,2019-08-21 00:42:39,2,L2,6,41.0241,-70.8718,25.194,D1_20,D1,>0&<20,NA,1,3.295,1,L2,1.17,ambient_temp
EN644,2019-08-21 00:42:39,2,L2,6,41.0241,-70.8718,25.194,D1_GFF,D1,>0,NA,1,7.351,1,L2,1.17,ambient_temp
EN644,2019-08-21 00:44:15,2,L2,8,41.024,-70.8717,17.946,D2_5,D2,>0&<5,NA,5,15.786,1,L2,1.18,ambient_temp
EN644,2019-08-21 00:44:15,2,L2,8,41.024,-70.8717,17.946,D2_20,D2,>0&<20,NA,5,23.8,1,L2,1.18,ambient_temp
EN644,2019-08-21 00:44:15,2,L2,8,41.024,-70.8717,17.946,D2_GFF,D2,>0,NA,5,56.703,1,L2,1.18,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_5,D3,>0&<5,1,70,44.568,1,L2,1.21,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_5,D3,>0&<5,2,70,44.448,1,L2,1.21,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_GFF,D3,>0,1,70,63.865,1,L2,1.21,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_20,D3,>0&<20,1,70,56.988,1,L2,1.21,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_5,D3,>0&<5,3,70,52.779,1,L2,1.21,ambient_temp
EN644,2019-08-21 00:48:24,2,L2,16,41.0237,-70.8715,1.634,D3_GFF,D3,>0,2,70,74.303,1,L2,1.21,ambient_temp
