cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
AR39B,1,2,0.9884746565,0.7361940145,0.6581578165,6.513278443000001,0.01463224052615957,0.0014341688228449584,0.2278149379782311,0.0023453360144801926,2019-10-05T22:38:55Z,41.1955,-70.88466667,"(18,19.5]",19.201725694931653
AR39B,1,4,0.193808664,0.4727298985,0.617086335,3.4195498994999998,0.025695641002778817,0.0050195912335106955,0.03690460082451892,0.005054585241004846,2019-10-05T22:41:21Z,41.1955,-70.88466667,"(1.5,3]",2.4398789979710385
AR39B,2,2,10.495445738898923,0.032117530275957915,1.1654666728555512,22.77927759653658,0.056387657362876695,0.006812302964906968,0.04542104690618818,0.018322869284804623,2019-10-06T00:16:13Z,41.03,-70.88266667,"(37.5,39]",39.98852627685957
AR39B,2,4,4.3601902255,0.289559609,0.7752875975,11.067296854999999,0.05638765680212194,7.170847649758204e-4,0.054647197605937954,0.06570960176910239,2019-10-06T00:18:37Z,41.03,-70.88266667,"(28.5,30]",30.440803904688583
AR39B,2,7,0.09766139699336096,0.11742972007147112,0.3767421091719272,2.8343805679799035,0.03675904245807842,0.035137141608467364,0.16607070275075053,0.2487377247328526,2019-10-06T00:20:59Z,41.03,-70.88266667,"(13.5,15]",15.443710461831515
AR39B,2,11,0.048704521,0.0765300525,0.39017907549999997,3.027830877,0.010349633456660774,0.008246472322348743,0.011710113267624726,0.0399363982234953,2019-10-06T00:23:28Z,41.03,-70.88266667,"(1.5,3]",2.331762473327286
AR39B,3,2,9.5627415445,0.168617034,1.058224471,19.474442525,0.01784419529795424,0.0021512535878207787,0.02696874716432546,0.0069181135440263145,2019-10-06T01:59:58Z,40.86333333,-70.88266667,"(48,49.5]",49.38973850337254
AR39B,3,4,3.5579535819364247,0.09635259082787373,0.5973111771258819,6.542340466909583,0.04104164934639824,0.0028683380904871397,0.13626314071856452,8.584490144994777e-4,2019-10-06T02:02:37Z,40.86333333,-70.88266667,"(25.5,27]",27.58793201590273
AR39B,3,5,0,0,0.2834439285,0.384879264,0,7.17084764975899e-4,0,0.021320564872397575,2019-10-06T02:04:32Z,40.86333333,-70.88266667,"(13.5,15]",15.347703618177434
AR39B,3,7,0,0.056205678,0.2811621795,0.278904443,0,0.0025097956167553477,0.03832400808619986,0.010660282436198787,2019-10-06T02:06:37Z,40.86333333,-70.88266667,"(1.5,3]",2.3833949075629914
AR39B,4,2,12.46230085,0.073268116,1.1839741925,25.979793705,0.007137677270653992,0.00788792958630745,0.028388153718899578,0.07336782276779262,2019-10-06T03:39:29Z,40.69716667,-70.884,"(58.5,60]",60.158751708295625
AR39B,4,3,5.569223179,0.0777846435,0.7496813035000001,9.022570651999999,0.02676629259337669,0.0025097956167553477,0.054647196898831185,0.02439979570136219,2019-10-06T03:41:52Z,40.69716667,-70.884,"(46.5,48]",47.31811457992132
AR39B,4,5,0.17160142099999998,0.166107852,0.20814621249999998,0.9681733695,0.027123176456909464,0.003943965146707126,0.012064965613375044,0.02721515619989949,2019-10-06T03:44:29Z,40.69716667,-70.884,"(27,28.5]",28.320549458314776
AR39B,4,8,0,0.20926578350000002,0.182032863,0.39726739099999997,0,0.0035854231177725768,0.033356081609656495,0.028779245994292494,2019-10-06T03:46:53Z,40.69716667,-70.884,"(13.5,15]",15.071112212986902
AR39B,4,12,0,0.13298664879888825,0.18963869290753804,0.41217879901235177,0,0.0014341690452435699,0.1880715223459354,0.022339186579703168,2019-10-06T03:49:49Z,40.69716667,-70.884,"(1.5,3]",2.2534444839549184
AR39B,5,2,12.208431685,0,1.090676012,21.07478081,0.06352533477988088,0.00932209840915241,0,0.03379875661762877,2019-10-06T05:39:15Z,40.51416667,-70.88366667,"(70.5,72]",70.90382641617829
AR39B,5,3,9.1642729505,0.0534455775,0.969489788,18.10197005,0.04461048789133093,0,0.01951685638885024,6.259026384345713e-4,2019-10-06T05:41:36Z,40.51416667,-70.88366667,"(58.5,60]",60.11313162921511
AR39B,5,5,0.06510759799557397,0.0983599364701211,0.13893316004455997,0.841787414378341,0.09207604809887605,0.00860501427146138,0.03974341604291464,0.07761195061937688,2019-10-06T05:44:47Z,40.51416667,-70.88366667,"(36,37.5]",37.21946110627713
