cruise,cast,nearest_station,niskin,depth_cat,depth_ID
EN644,1,1,2,D1,CM
EN644,1,1,9,D2,other depth
EN644,1,1,19,D3,surf
EN644,2,2,6,D1,below max
EN644,2,2,8,D2,CM
EN644,2,2,16,D3,surf
EN644,23,4,7,D1,NA
EN644,23,4,11,D2,below max
EN644,23,4,20,D4,surf
EN644,23,4,15,D3,CM
EN644,7,6,5,D1,below max
EN644,7,6,11,D3,extra depth
EN644,7,6,13,D2,CM
EN644,7,6,23,D4,surf
EN644,9,8,4,D1,below max
EN644,9,8,10,D2,CM
EN644,9,8,17,D4,surf
EN644,9,8,16,D3,extra depth
EN644,13,10,6,D1,extra depth
EN644,13,10,10,D2,CM
EN644,13,10,20,D4,surf
EN644,13,10,16,D3,below max
EN644,17,11,5,D1,below max
EN644,17,11,16,D3,
EN644,17,11,12,D2,CM
EN644,17,11,22,D4,surf
AR39,2,2,5,D1,
AR39,2,2,8,D2,
AR39,2,2,12,D3,surf
AR39,4,4,6,D1,
AR39,4,4,9,D2,
AR39,4,4,13,D3,surf
AR39,6,6,5,D1,
AR39,6,6,10,D2,
AR39,6,6,15,D3,
AR39,6,6,21,D4,surf
AR39,10,8,7,D1,
AR39,10,8,10,D2,
AR39,10,8,15,D3,
AR39,10,8,21,D4,surf
AR39,13,11,6,D1,
AR39,13,11,9,D2,
AR39,13,11,14,D3,
AR39,13,11,17,D4,surf
EN649,1,1,4,D1,below max
EN649,1,1,9,D2,CM
EN649,1,1,15,D3,surf
EN649,5,2,6,D1,below max
EN649,5,2,10,D2,CM
EN649,5,2,15,D3,surf
EN649,21,4,7,D1,below max
EN649,21,4,14,D2,CM
EN649,21,4,20,D3,surf
EN649,19,6,6,D1,extra depth
EN649,19,6,11,D2,below max
EN649,19,6,16,D3,CM
EN649,19,6,21,D4,surf
EN649,8,8,8,D1,below max
EN649,8,8,14,D2,CM
EN649,8,8,20,D3,surf
EN649,12,10,8,D1,extra depth
EN649,12,10,12,D2,below max
