cruise,cast,niskin,station,data_check,size,mean_npp,depth_category,sd_npp,depth,depth_grp,temp_check,temp_dif
AT46,1,4,L1,A,total,17.851,D1,NA,17.843,"(16.5,18]",Good,3.334773793
AT46,1,4,L1,A,less20,6.556,D1,NA,17.843,"(16.5,18]",Good,3.334773793
AT46,1,4,L1,A,less5,1.793,D1,NA,17.843,"(16.5,18]",Good,3.334773793
AT46,1,4,L1,A,between520,4.763,NA,NA,17.843,"(16.5,18]",Good,3.334773793
AT46,1,4,L1,A,greater20,11.295,NA,NA,17.843,"(16.5,18]",Good,3.334773793
AT46,1,9,L1,A,total,59.853,D2,NA,9.782,"(7.5,9]",Good,3.345597126
AT46,1,9,L1,A,less20,23.92,D2,NA,9.782,"(7.5,9]",Good,3.345597126
AT46,1,9,L1,A,less5,7.211,D2,NA,9.782,"(7.5,9]",Good,3.345597126
AT46,1,9,L1,A,between520,16.709,NA,NA,9.782,"(7.5,9]",Good,3.345597126
AT46,1,9,L1,A,greater20,35.933,NA,NA,9.782,"(7.5,9]",Good,3.345597126
AT46,1,15,L1,A,total,59.8625,D3,3.7158,1.774,"(0,1.5]",Good,3.34533687
AT46,1,15,L1,A,less20,22.679,D3,NA,1.774,"(0,1.5]",Good,3.34533687
AT46,1,15,L1,A,less5,3.833,D3,NA,1.774,"(0,1.5]",Good,3.34533687
AT46,1,15,L1,A,between520,18.846,NA,NA,1.774,"(0,1.5]",Good,3.34533687
AT46,1,15,L1,A,greater20,37.1835,NA,NA,1.774,"(0,1.5]",Good,3.34533687
AT46,2,10,L4,A,total,2.247,D1,NA,38.326,"(37.5,39]",Good,4.728513956
AT46,2,10,L4,A,less20,0.729,D1,NA,38.326,"(37.5,39]",Good,4.728513956
AT46,2,10,L4,A,less5,0.413,D1,NA,38.326,"(37.5,39]",Good,4.728513956
AT46,2,10,L4,A,between520,0.316,NA,NA,38.326,"(37.5,39]",Good,4.728513956
AT46,2,10,L4,A,greater20,1.518,NA,NA,38.326,"(37.5,39]",Good,4.728513956
AT46,2,16,L4,A,total,19.078,D2,NA,17.459,"(16.5,18]",Good,4.743380623
AT46,2,16,L4,A,less20,4.424,D2,NA,17.459,"(16.5,18]",Good,4.743380623
AT46,2,16,L4,A,less5,1.791,D2,NA,17.459,"(16.5,18]",Good,4.743380623
AT46,2,16,L4,A,between520,2.633,NA,NA,17.459,"(16.5,18]",Good,4.743380623
AT46,2,16,L4,A,greater20,14.654,NA,NA,17.459,"(16.5,18]",Good,4.743380623
AT46,2,21,L4,A,total,24.9053,D3,1.6823,2.649,"(1.5,3]",Good,4.751194909
AT46,2,21,L4,A,less20,5.758,D3,NA,2.649,"(1.5,3]",Good,4.751194909
AT46,2,21,L4,A,less5,2.302,D3,NA,2.649,"(1.5,3]",Good,4.751194909
AT46,2,21,L4,A,between520,3.456,NA,NA,2.649,"(1.5,3]",Good,4.751194909
AT46,2,21,L4,A,greater20,19.1473,NA,NA,2.649,"(1.5,3]",Good,4.751194909
AT46,6,9,L6,A,total,0.392,D1,NA,49.658,"(48,49.5]",Good,3.4164
AT46,6,9,L6,A,less20,0.26,D1,NA,49.658,"(48,49.5]",Good,3.4164
AT46,6,9,L6,A,less5,0.152,D1,NA,49.658,"(48,49.5]",Good,3.4164
