cruise,cast,niskin,station,data_check,sd_5_total,CV_5_tot,sd_20_total,CV_20_tot,size,mean_npp,depth_category,sd_npp,depth,depth_grp,latitude,longitude,temp_check,temp
AT46,1,4,L1,A,NA,NA,NA,NA,total,17.851,D1,NA,17.843,"(16.5,18]",41.19684,-70.883,Good,4.05264
AT46,1,4,L1,A,NA,NA,NA,NA,less20,6.556,D1,NA,17.843,"(16.5,18]",41.19684,-70.883,Good,4.05264
AT46,1,4,L1,A,NA,NA,NA,NA,less5,1.793,D1,NA,17.843,"(16.5,18]",41.19684,-70.883,Good,4.05264
AT46,1,4,L1,A,NA,NA,NA,NA,between520,4.763,NA,NA,17.843,"(16.5,18]",41.19684,-70.883,Good,4.05264
AT46,1,4,L1,A,NA,NA,NA,NA,greater20,11.295,NA,NA,17.843,"(16.5,18]",41.19684,-70.883,Good,4.05264
AT46,1,9,L1,A,NA,NA,NA,NA,total,59.853,D2,NA,9.782,"(7.5,9]",41.19666,-70.88284,Good,4.041816667
AT46,1,9,L1,A,NA,NA,NA,NA,less20,23.92,D2,NA,9.782,"(7.5,9]",41.19666,-70.88284,Good,4.041816667
AT46,1,9,L1,A,NA,NA,NA,NA,less5,7.211,D2,NA,9.782,"(7.5,9]",41.19666,-70.88284,Good,4.041816667
AT46,1,9,L1,A,NA,NA,NA,NA,between520,16.709,NA,NA,9.782,"(7.5,9]",41.19666,-70.88284,Good,4.041816667
AT46,1,9,L1,A,NA,NA,NA,NA,greater20,35.933,NA,NA,9.782,"(7.5,9]",41.19666,-70.88284,Good,4.041816667
AT46,1,15,L1,A,NA,NA,NA,NA,total,59.8625,D3,3.7158,1.774,"(0,1.5]",41.19656,-70.88282,Good,4.042076923
AT46,1,15,L1,A,NA,NA,NA,NA,less20,22.679,D3,NA,1.774,"(0,1.5]",41.19656,-70.88282,Good,4.042076923
AT46,1,15,L1,A,NA,NA,NA,NA,less5,3.833,D3,NA,1.774,"(0,1.5]",41.19656,-70.88282,Good,4.042076923
AT46,1,15,L1,A,NA,NA,NA,NA,between520,18.846,NA,NA,1.774,"(0,1.5]",41.19656,-70.88282,Good,4.042076923
AT46,1,15,L1,A,NA,NA,NA,NA,greater20,37.1835,NA,NA,1.774,"(0,1.5]",41.19656,-70.88282,Good,4.042076923
AT46,2,10,L4,A,NA,NA,NA,NA,total,2.247,D1,NA,38.326,"(37.5,39]",40.69684,-70.8817,Good,4.781866667
AT46,2,10,L4,A,NA,NA,NA,NA,less20,0.729,D1,NA,38.326,"(37.5,39]",40.69684,-70.8817,Good,4.781866667
AT46,2,10,L4,A,NA,NA,NA,NA,less5,0.413,D1,NA,38.326,"(37.5,39]",40.69684,-70.8817,Good,4.781866667
AT46,2,10,L4,A,NA,NA,NA,NA,between520,0.316,NA,NA,38.326,"(37.5,39]",40.69684,-70.8817,Good,4.781866667
AT46,2,10,L4,A,NA,NA,NA,NA,greater20,1.518,NA,NA,38.326,"(37.5,39]",40.69684,-70.8817,Good,4.781866667
AT46,2,16,L4,A,NA,NA,NA,NA,total,19.078,D2,NA,17.459,"(16.5,18]",40.69734,-70.88144,Good,4.767
AT46,2,16,L4,A,NA,NA,NA,NA,less20,4.424,D2,NA,17.459,"(16.5,18]",40.69734,-70.88144,Good,4.767
AT46,2,16,L4,A,NA,NA,NA,NA,less5,1.791,D2,NA,17.459,"(16.5,18]",40.69734,-70.88144,Good,4.767
AT46,2,16,L4,A,NA,NA,NA,NA,between520,2.633,NA,NA,17.459,"(16.5,18]",40.69734,-70.88144,Good,4.767
AT46,2,16,L4,A,NA,NA,NA,NA,greater20,14.654,NA,NA,17.459,"(16.5,18]",40.69734,-70.88144,Good,4.767
AT46,2,21,L4,A,NA,NA,NA,NA,total,24.9053,D3,1.6823,2.649,"(1.5,3]",40.69736,-70.8813,Good,4.759185714
AT46,2,21,L4,A,NA,NA,NA,NA,less20,5.758,D3,NA,2.649,"(1.5,3]",40.69736,-70.8813,Good,4.759185714
AT46,2,21,L4,A,NA,NA,NA,NA,less5,2.302,D3,NA,2.649,"(1.5,3]",40.69736,-70.8813,Good,4.759185714
AT46,2,21,L4,A,NA,NA,NA,NA,between520,3.456,NA,NA,2.649,"(1.5,3]",40.69736,-70.8813,Good,4.759185714
AT46,2,21,L4,A,NA,NA,NA,NA,greater20,19.1473,NA,NA,2.649,"(1.5,3]",40.69736,-70.8813,Good,4.759185714
AT46,6,9,L6,A,NA,NA,NA,NA,total,0.392,D1,NA,49.658,"(48,49.5]",40.364,-70.88128,Good,7.9036
AT46,6,9,L6,A,NA,NA,NA,NA,less20,0.26,D1,NA,49.658,"(48,49.5]",40.364,-70.88128,Good,7.9036
AT46,6,9,L6,A,NA,NA,NA,NA,less5,0.152,D1,NA,49.658,"(48,49.5]",40.364,-70.88128,Good,7.9036
AT46,6,9,L6,A,NA,NA,NA,NA,between520,0.108,NA,NA,49.658,"(48,49.5]",40.364,-70.88128,Good,7.9036
AT46,6,9,L6,A,NA,NA,NA,NA,greater20,0.132,NA,NA,49.658,"(48,49.5]",40.364,-70.88128,Good,7.9036
AT46,6,15,L6,A,NA,NA,NA,NA,total,18.346,D2,NA,22.126,"(21,22.5]",40.3635,-70.88122,Good,7.87295
AT46,6,15,L6,A,NA,NA,NA,NA,less20,7.258,D2,NA,22.126,"(21,22.5]",40.3635,-70.88122,Good,7.87295
AT46,6,15,L6,A,NA,NA,NA,NA,less5,3.182,D2,NA,22.126,"(21,22.5]",40.3635,-70.88122,Good,7.87295
AT46,6,15,L6,A,NA,NA,NA,NA,between520,4.076,NA,NA,22.126,"(21,22.5]",40.3635,-70.88122,Good,7.87295
AT46,6,15,L6,A,NA,NA,NA,NA,greater20,11.088,NA,NA,22.126,"(21,22.5]",40.3635,-70.88122,Good,7.87295
AT46,6,20,L6,A,NA,NA,NA,NA,total,29.8453,D3,1.1845,3.157,"(1.5,3]",40.36336,-70.88126,Good,7.9010125
AT46,6,20,L6,A,NA,NA,NA,NA,less20,13.558,D3,NA,3.157,"(1.5,3]",40.36336,-70.88126,Good,7.9010125
AT46,6,20,L6,A,NA,NA,NA,NA,less5,7.166,D3,NA,3.157,"(1.5,3]",40.36336,-70.88126,Good,7.9010125
AT46,6,20,L6,A,NA,NA,NA,NA,between520,6.392,NA,NA,3.157,"(1.5,3]",40.36336,-70.88126,Good,7.9010125
AT46,6,20,L6,A,NA,NA,NA,NA,greater20,16.2873,NA,NA,3.157,"(1.5,3]",40.36336,-70.88126,Good,7.9010125
AT46,13,8,L8,A,NA,NA,NA,NA,total,0,D1,NA,58.614,"(57,58.5]",40.13448,-70.78189,Bad,13.048875
AT46,13,8,L8,A,NA,NA,NA,NA,less20,0,D1,NA,58.614,"(57,58.5]",40.13448,-70.78189,Bad,13.048875
AT46,13,8,L8,A,NA,NA,NA,NA,less5,0,D1,NA,58.614,"(57,58.5]",40.13448,-70.78189,Bad,13.048875
AT46,13,8,L8,A,NA,NA,NA,NA,between520,0,NA,NA,58.614,"(57,58.5]",40.13448,-70.78189,Bad,13.048875
AT46,13,8,L8,A,NA,NA,NA,NA,greater20,0,NA,NA,58.614,"(57,58.5]",40.13448,-70.78189,Bad,13.048875
AT46,13,12,L8,A,NA,NA,NA,NA,total,2.561,D2,NA,44.625,"(43.5,45]",40.13432,-70.78206,Good,12.213725
AT46,13,12,L8,A,NA,NA,NA,NA,less20,1.549,D2,NA,44.625,"(43.5,45]",40.13432,-70.78206,Good,12.213725
AT46,13,12,L8,A,NA,NA,NA,NA,less5,1.173,D2,NA,44.625,"(43.5,45]",40.13432,-70.78206,Good,12.213725
AT46,13,12,L8,A,NA,NA,NA,NA,between520,0.376,NA,NA,44.625,"(43.5,45]",40.13432,-70.78206,Good,12.213725
AT46,13,12,L8,A,NA,NA,NA,NA,greater20,1.012,NA,NA,44.625,"(43.5,45]",40.13432,-70.78206,Good,12.213725
AT46,13,16,L8,A,NA,NA,NA,NA,total,23.369,D3,NA,27.513,"(25.5,27]",40.13391,-70.78254,Good,9.88556
AT46,13,16,L8,A,NA,NA,NA,NA,less20,6.369,D3,NA,27.513,"(25.5,27]",40.13391,-70.78254,Good,9.88556
AT46,13,16,L8,A,NA,NA,NA,NA,less5,3.431,D3,NA,27.513,"(25.5,27]",40.13391,-70.78254,Good,9.88556
AT46,13,16,L8,A,NA,NA,NA,NA,between520,2.938,NA,NA,27.513,"(25.5,27]",40.13391,-70.78254,Good,9.88556
AT46,13,16,L8,A,NA,NA,NA,NA,greater20,17,NA,NA,27.513,"(25.5,27]",40.13391,-70.78254,Good,9.88556
AT46,13,21,L8,A,NA,NA,NA,NA,total,20.398,D4,1.6051,7.661,"(6,7.5]",40.13346,-70.78307,Good,9.224514286
AT46,13,21,L8,A,NA,NA,NA,NA,less20,12.251,D4,NA,7.661,"(6,7.5]",40.13346,-70.78307,Good,9.224514286
