cruise,cast,nearest_station
EN608,1,L1
EN608,2,u2
EN608,3,d2
EN608,4,L2
EN608,5,L3
EN608,6,u4
EN608,7,d4
EN608,8,L4
EN608,9,L5
EN608,10,u6
EN608,11,d6
EN608,12,L6
EN608,13,L7
EN608,NA,L7
EN608,15,L8
EN608,16,u9
EN608,17,u11
EN608,18,d11
EN608,19,L11
EN608,20,L12
EN608,21,L10
EN608,22,L9
EN608,23,L7
EN608,24,L13
EN608,25,L5
EN608,26,L4
EN608,27,L3
EN608,28,L2
EN608,29,L1
EN608,30,MVCO
EN617,1,L1
EN617,2,L2
EN617,3,u2a
EN617,4,d2a
EN617,5,L3
EN617,6,u4a
EN617,7,d4a
EN617,8,L4
EN617,9,L5
EN617,10,u6a
EN617,11,d6a
EN617,12,L6
EN617,13,L7
EN617,14,L8
EN617,15,u9a
EN617,16,d9a
EN617,17,L9
EN617,18,L10
EN617,19,u11a
EN617,20,d11a
EN617,21,L11
EN617,22,L11
EN617,23,L12
EN617,24,u6a
EN617,25,L11
EN617,26,L10
EN617,27,L9
EN617,28,L7
EN617,29,L6
EN617,30,L5
EN617,31,L4
EN617,32,L3
EN617,33,L2
EN617,34,L1
EN617,35,MVCO
EN627,2,L1
EN627,3,L1
EN627,5,u2a
EN627,6,d2a
EN627,7,L2
EN627,8,L3
EN627,9,u4a
EN627,10,d4a
EN627,11,L4
EN627,12,L4
EN627,13,L5
EN627,14,u6a
EN627,15,d6a
EN627,16,L6
EN627,17,L7
EN627,18,L8
EN627,19,L8
EN627,20,u9a
EN627,21,d9a
EN627,22,L9
EN627,23,L10
EN627,24,L10
EN627,25,L11
EN627,26,L11
EN627,27,u11a
EN627,28,d11a
EN627,29,u11c
EN627,30,L11
EN627,31,L10.5
EN627,32,L10
EN627,33,L12
EN627,34,L9.5
EN627,35,L9
EN627,36,L7.5
EN627,37,L7
EN627,38,L6
EN627,39,L13
EN627,40,L5
EN627,41,L4
EN627,42,L3
EN627,43,L2
EN627,44,L1
EN627,45,MVCO
EN644,1,L1
EN644,2,L2
EN644,3,u2a
EN644,4,d2a
EN644,5,L3
EN644,6,L2
EN644,7,L6
EN644,8,L7
EN644,9,L8
EN644,10,u9a
EN644,11,d9a
EN644,12,L9
EN644,13,L10
EN644,14,L12
EN644,15,u11a
EN644,16,d11a
EN644,17,L11
EN644,18,L9
EN644,19,u6a
EN644,20,d6a
EN644,21,L6
EN644,22,L5
EN644,23,L4
EN644,24,u4a
EN644,25,d4a
EN644,26,L2
EN644,27,L1.5
EN644,28,L1
EN644,29,MVCO
AR39B,1,L1
AR39B,2,L2
AR39B,3,L3
AR39B,4,L4
AR39B,5,L5
AR39B,6,L6
AR39B,7,L13
AR39B,8,u6a
AR39B,9,d6a
AR39B,10,L8
AR39B,11,L7
AR39B,12,L9
AR39B,13,L11
AR39B,14,L10
AR39B,15,L10
AR39B,16,L12
AR39B,17,L12
AR39B,18,L12
AR39B,19,u9a
AR39B,20,L8
AR39B,21,L7
AR39B,22,u6a
AR39B,23,L13
EN649,1,L1
EN649,2,MVCO
EN649,3,u2a
EN649,4,d2a
EN649,5,L2
EN649,6,L3
EN649,7,L7
EN649,8,L8
EN649,9,u9a
EN649,10,d9a
EN649,11,L9
EN649,12,L10
EN649,13,L12
EN649,14,d11a
EN649,15,u11a
EN649,16,L11
EN649,17,u6a
EN649,18,d6a
EN649,19,L6
EN649,20,L5
EN649,21,L4
EN649,22,u4a
EN649,23,d4a
EN649,24,L5
EN649,25,L7
EN649,26,L10
EN649,27,L9.5
EN649,28,L9
EN649,29,L7.5
EN655,1,L1
EN655,2,L2
EN655,3,L3
EN655,4,u2a
EN655,5,d2a
EN655,6,L2
EN655,7,L4
EN655,8,u4a
EN655,9,d4a
EN655,10,L5
EN655,11,L7
EN655,12,L10
EN655,13,u11a
EN655,14,d11a
EN655,15,L9
EN655,16,L6
EN657,1,L1
EN657,2,L3
EN657,3,u2a
EN657,4,d2a
EN657,5,L2
EN657,6,L4
EN657,7,L5
EN657,9,L10
EN657,10,u11a
EN657,11,d11a
EN657,12,L11
EN657,13,L12
EN657,14,L9
EN657,15,L8
EN657,16,L13
EN657,17,L6
EN657,18,d6a
EN657,19,L7
EN657,20,MVCO
EN661,1,L1
EN661,2,L2
EN661,3,u4a
EN661,4,d4a
EN661,5,L4
EN661,6,L5
EN661,7,L10
EN661,8,u11a
EN661,9,d11a
EN661,10,L11
EN661,11,L12
EN661,12,L3
EN661,13,L1.2
EN661,14,MVCO
EN661,15,u2a
EN661,16,d2a
EN661,17,L2
EN661,18,L3
EN661,19,u3a
EN661,20,u1a
EN661,21,d1a
EN661,22,d3a
EN668,1,L1
EN668,2,L2
EN668,3,u4a
EN668,4,d4a
EN668,5,L4
EN668,6,L5
EN668,7,L5
EN668,8,L10
EN668,9,u11a
EN668,10,d11a
EN668,11,L11
EN668,12,u9a
EN668,13,d9a
EN668,14,L9
EN668,15,L8
EN668,16,L12
EN668,17,L7
EN668,18,L6
EN668,19,u6a
EN668,20,d6a
EN668,21,L3
EN668,22,u2a
EN668,23,L2
EN668,24,d2a
EN668,25,MVCO
AT46,1,L1
AT46,2,L4
AT46,3,L5
AT46,4,L13
AT46,5,d6a
AT46,6,L6
AT46,7,L11
AT46,8,L9
AT46,9,L10
AT46,10,u9a
